parameter,i,j,value
class,0,0,0.078452155
class,0,1,0.113289826
class,0,2,0.8992273
class,0,3,0.12602684
class,0,4,0.8581146
class,0,5,0.10957146
class,0,6,0.89398926
class,0,7,0.11195752
class,0,8,0.8482096
class,0,9,0.7352134
class,1,0,0.93334633
class,1,1,0.9042721
class,1,2,0.79288447
class,1,3,0.8856283
class,1,4,0.7617616
class,1,5,0.8875413
class,1,6,0.04885061
class,1,7,0.88684374
class,1,8,0.074142344
class,1,9,0.09129947
class,2,0,0.9171604
class,2,1,0.94675225
class,2,2,0.94570196
class,2,3,0.90478754
class,2,4,0.07659779
class,2,5,0.89629847
class,2,6,0.30185223
class,2,7,0.91364515
class,2,8,0.9484484
class,2,9,0.13407484
class,3,0,0.17966886
class,3,1,0.84500086
class,3,2,0.9419502
class,3,3,0.09190709
class,3,4,0.55845714
class,3,5,0.056706842
class,3,6,0.12970777
class,3,7,0.8901882
class,3,8,0.8740984
class,3,9,0.5793511
class,4,0,0.8362855
class,4,1,0.24296027
class,4,2,0.88230795
class,4,3,0.91194093
class,4,4,0.25868624
class,4,5,0.11161315
class,4,6,0.21948692
class,4,7,0.1493044
class,4,8,0.84783906
class,4,9,0.11960544
class,5,0,0.08871727
class,5,1,0.063485645
class,5,2,0.8774871
class,5,3,0.9173421
class,5,4,0.92236847
class,5,5,0.2387564
class,5,6,0.3550712
class,5,7,0.14921035
class,5,8,0.8818164
class,5,9,0.88907415
class,6,0,0.10320639
class,6,1,0.9517184
class,6,2,0.93931353
class,6,3,0.09389067
class,6,4,0.95333135
class,6,5,0.95227313
class,6,6,0.89034355
class,6,7,0.10409239
class,6,8,0.95532954
class,6,9,0.9128566
class,7,0,0.1724945
class,7,1,0.09418927
class,7,2,0.13840966
class,7,3,0.8587397
class,7,4,0.08348712
class,7,5,0.8468737
class,7,6,0.17963953
class,7,7,0.10884371
class,7,8,0.08535239
class,7,9,0.10359377
class,8,0,0.950063
class,8,1,0.8674828
class,8,2,0.15456337
class,8,3,0.056938518
class,8,4,0.88412714
class,8,5,0.07708782
class,8,6,0.9190445
class,8,7,0.16086887
class,8,8,0.7987706
class,8,9,0.87880814
class,9,0,0.6132153
class,9,1,0.8434877
class,9,2,0.0894287
class,9,3,0.08354499
class,9,4,0.78188765
class,9,5,0.40714437
class,9,6,0.20429017
class,9,7,0.1463241
class,9,8,0.11293104
class,9,9,0.09416958
class,10,0,0.9418499
class,10,1,0.08021158
class,10,2,0.8515604
class,10,3,0.8767948
class,10,4,0.9067592
class,10,5,0.1629793
class,10,6,0.15230227
class,10,7,0.07143936
class,10,8,0.8965519
class,10,9,0.8898106
class,11,0,0.26881468
class,11,1,0.26530847
class,11,2,0.80174744
class,11,3,0.08122435
class,11,4,0.7385547
class,11,5,0.86371255
class,11,6,0.21576746
class,11,7,0.08300992
class,11,8,0.067138575
class,11,9,0.8110298
class,12,0,0.13977243
class,12,1,0.09282293
class,12,2,0.7178164
class,12,3,0.17942543
class,12,4,0.35242793
class,12,5,0.81817335
class,12,6,0.2611525
class,12,7,0.05435899
class,12,8,0.13134462
class,12,9,0.18398428
class,13,0,0.91329896
class,13,1,0.9403302
class,13,2,0.46516976
class,13,3,0.9329314
class,13,4,0.060101237
class,13,5,0.8542541
class,13,6,0.91092855
class,13,7,0.22364071
class,13,8,0.13913243
class,13,9,0.92833525
class,14,0,0.057769194
class,14,1,0.9335995
class,14,2,0.10325215
class,14,3,0.93647325
class,14,4,0.7810391
class,14,5,0.4287176
class,14,6,0.16925056
class,14,7,0.07913453
class,14,8,0.107503414
class,14,9,0.82717466
class,15,0,0.1269776
class,15,1,0.09366815
class,15,2,0.22877358
class,15,3,0.11824893
class,15,4,0.17724636
class,15,5,0.16753322
class,15,6,0.18091816
class,15,7,0.09263557
class,15,8,0.15267543
class,15,9,0.14689636
class,16,0,0.88363
class,16,1,0.092893675
class,16,2,0.2124883
class,16,3,0.92190444
class,16,4,0.16283798
class,16,5,0.14690861
class,16,6,0.1584341
class,16,7,0.7906824
class,16,8,0.72815627
class,16,9,0.25178283
class,17,0,0.21527912
class,17,1,0.85592407
